@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
161,94,56,17,121,0.123188,0.626667,0.846847,0.626667,0.153153,0.720307,0.385417,1.625946,0.801989
162,93,57,17,121,0.123188,0.62,0.845455,0.62,0.154545,0.715385,0.381944,1.623273,0.802106
163,92,58,17,121,0.123188,0.613333,0.844037,0.613333,0.155963,0.710425,0.378472,1.62055,0.802607
164,92,58,15,123,0.108696,0.613333,0.859813,0.613333,0.140187,0.715953,0.371528,1.650841,0.804278
165,92,58,14,124,0.101449,0.613333,0.867925,0.613333,0.132075,0.71875,0.368056,1.666415,0.808638
166,92,58,13,125,0.094203,0.613333,0.87619,0.613333,0.12381,0.721569,0.364583,1.682286,0.821973
167,91,59,13,125,0.094203,0.606667,0.875,0.606667,0.125,0.716535,0.361111,1.68,0.824183
168,89,61,13,125,0.094203,0.593333,0.872549,0.593333,0.127451,0.706349,0.354167,1.675294,0.836782
169,89,61,12,126,0.086957,0.593333,0.881188,0.593333,0.118812,0.709163,0.350694,1.691881,0.841166
170,88,62,12,126,0.086957,0.586667,0.88,0.586667,0.12,0.704,0.347222,1.6896,0.841881
171,87,63,12,126,0.086957,0.58,0.878788,0.58,0.121212,0.698795,0.34375,1.687273,0.845635
172,86,64,12,126,0.086957,0.573333,0.877551,0.573333,0.122449,0.693548,0.340278,1.684898,0.848671
173,86,64,11,127,0.07971,0.573333,0.886598,0.573333,0.113402,0.696356,0.336806,1.702268,0.850037
174,85,65,11,127,0.07971,0.566667,0.885417,0.566667,0.114583,0.691057,0.333333,1.7,0.85042
175,84,66,11,127,0.07971,0.56,0.884211,0.56,0.115789,0.685714,0.329861,1.697684,0.850525
176,84,66,10,128,0.072464,0.56,0.893617,0.56,0.106383,0.688525,0.326389,1.715745,0.853728
177,83,67,10,128,0.072464,0.553333,0.892473,0.553333,0.107527,0.683128,0.322917,1.713548,0.856502
178,82,68,10,128,0.072464,0.546667,0.891304,0.546667,0.108696,0.677686,0.319444,1.711304,0.862583
179,81,69,10,128,0.072464,0.54,0.89011,0.54,0.10989,0.672199,0.315972,1.709011,0.869285
180,80,70,10,128,0.072464,0.533333,0.888889,0.533333,0.111111,0.666667,0.3125,1.706667,0.871069
181,79,71,10,128,0.072464,0.526667,0.88764,0.526667,0.11236,0.661088,0.309028,1.70427,0.877938
182,77,73,10,128,0.072464,0.513333,0.885057,0.513333,0.114943,0.649789,0.302083,1.69931,0.879069
183,76,74,10,128,0.072464,0.506667,0.883721,0.506667,0.116279,0.644068,0.298611,1.696744,0.87996
184,75,75,10,128,0.072464,0.5,0.882353,0.5,0.117647,0.638298,0.295139,1.694118,0.880042
185,74,76,9,129,0.065217,0.493333,0.891566,0.493333,0.108434,0.635193,0.288194,1.711807,0.881999
186,71,79,9,129,0.065217,0.473333,0.8875,0.473333,0.1125,0.617391,0.277778,1.704,0.882383
187,70,80,9,129,0.065217,0.466667,0.886076,0.466667,0.113924,0.611354,0.274306,1.701266,0.883803
188,69,81,9,129,0.065217,0.46,0.884615,0.46,0.115385,0.605263,0.270833,1.698462,0.884562
189,67,83,9,129,0.065217,0.446667,0.881579,0.446667,0.118421,0.59292,0.263889,1.692632,0.884859
190,66,84,9,129,0.065217,0.44,0.88,0.44,0.12,0.586667,0.260417,1.6896,0.887847
191,64,86,9,129,0.065217,0.426667,0.876712,0.426667,0.123288,0.573991,0.253472,1.683288,0.889197
192,63,87,9,129,0.065217,0.42,0.875,0.42,0.125,0.567568,0.25,1.68,0.89124
193,63,87,8,130,0.057971,0.42,0.887324,0.42,0.112676,0.570136,0.246528,1.703662,0.892704
194,62,88,7,131,0.050725,0.413333,0.898551,0.413333,0.101449,0.56621,0.239583,1.725217,0.894345
195,61,89,7,131,0.050725,0.406667,0.897059,0.406667,0.102941,0.559633,0.236111,1.722353,0.895194
196,60,90,7,131,0.050725,0.4,0.895522,0.4,0.104478,0.552995,0.232639,1.719403,0.895505
197,60,90,6,132,0.043478,0.4,0.909091,0.4,0.090909,0.555556,0.229167,1.745455,0.896507
198,59,91,6,132,0.043478,0.393333,0.907692,0.393333,0.092308,0.548837,0.225694,1.742769,0.89688
199,58,92,6,132,0.043478,0.386667,0.90625,0.386667,0.09375,0.542056,0.222222,1.74,0.902204
200,57,93,6,132,0.043478,0.38,0.904762,0.38,0.095238,0.535211,0.21875,1.737143,0.905777
201,56,94,6,132,0.043478,0.373333,0.903226,0.373333,0.096774,0.528302,0.215278,1.734194,0.90764
202,55,95,6,132,0.043478,0.366667,0.901639,0.366667,0.098361,0.521327,0.211806,1.731148,0.909714
203,54,96,6,132,0.043478,0.36,0.9,0.36,0.1,0.514286,0.208333,1.728,0.912422
204,53,97,6,132,0.043478,0.353333,0.898305,0.353333,0.101695,0.507177,0.204861,1.724746,0.91309
