@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
112,124,26,35,103,0.253623,0.826667,0.779874,0.826667,0.220126,0.802589,0.552083,1.497358,0.337287
113,123,27,35,103,0.253623,0.82,0.778481,0.82,0.221519,0.798701,0.548611,1.494684,0.337405
114,123,27,34,104,0.246377,0.82,0.783439,0.82,0.216561,0.801303,0.545139,1.504204,0.339534
115,123,27,33,105,0.23913,0.82,0.788462,0.82,0.211538,0.803922,0.541667,1.513846,0.340326
116,122,28,33,105,0.23913,0.813333,0.787097,0.813333,0.212903,0.8,0.538194,1.511226,0.362551
117,121,29,33,105,0.23913,0.806667,0.785714,0.806667,0.214286,0.796053,0.534722,1.508571,0.402276
118,121,29,32,106,0.231884,0.806667,0.79085,0.806667,0.20915,0.79868,0.53125,1.518431,0.45253
119,121,29,31,107,0.224638,0.806667,0.796053,0.806667,0.203947,0.801325,0.527778,1.528421,0.453397
120,120,30,31,107,0.224638,0.8,0.794702,0.8,0.205298,0.797342,0.524306,1.525828,0.461316
121,120,30,30,108,0.217391,0.8,0.8,0.8,0.2,0.8,0.520833,1.536,0.489369
122,120,30,29,109,0.210145,0.8,0.805369,0.8,0.194631,0.802676,0.517361,1.546309,0.512032
123,119,31,29,109,0.210145,0.793333,0.804054,0.793333,0.195946,0.798658,0.513889,1.543784,0.522337
124,118,32,29,109,0.210145,0.786667,0.802721,0.786667,0.197279,0.794613,0.510417,1.541224,0.526486
125,116,34,29,109,0.210145,0.773333,0.8,0.773333,0.2,0.786441,0.503472,1.536,0.533188
126,116,34,28,110,0.202899,0.773333,0.805556,0.773333,0.194444,0.789116,0.5,1.546667,0.533238
127,116,34,27,111,0.195652,0.773333,0.811189,0.773333,0.188811,0.791809,0.496528,1.557483,0.533247
128,116,34,26,112,0.188406,0.773333,0.816901,0.773333,0.183099,0.794521,0.493056,1.568451,0.53325
