SA_temp_1E6
35	0.052	0.054	0.060	0.051	0.076
50	0.076	0.077	0.080	0.071	0.146
67	0.103	0.105	0.111	0.096	0.115
87	0.128	0.129	0.147	0.121	0.147
110	0.169	0.169	0.198	0.157	0.184
136	0.237	0.204	0.230	0.194	0.225
166	0.254	0.259	0.276	0.235	0.287
200	0.308	0.302	0.350	0.281	0.334
239	0.365	0.366	0.386	0.373	0.380
284	0.435	0.431	0.402	0.494	0.472
336	0.502	0.510	0.491	0.511	0.533
396	0.629	0.611	0.585	0.641	0.649
465	0.717	0.709	0.705	0.967	0.770
544	0.847	0.826	0.866	1.168	0.898
635	0.983	0.971	0.940	0.895	1.024
740	1.139	1.148	1.083	1.234	1.277
860	1.333	1.304	1.249	1.313	1.437
998	1.525	1.524	1.662	1.591	1.887
1157	1.772	1.751	1.959	1.840	1.906
1340	2.211	2.039	1.946	2.179	2.157
1550	2.513	2.347	2.371	2.299	2.529
1792	2.727	2.722	2.718	2.509	2.937
2070	3.255	3.090	3.974	3.305	3.360
2390	4.030	3.601	4.295	4.713	3.952
2758	4.581	4.190	5.062	5.032	4.531
3181	5.056	4.792	7.032	5.140	5.077
3668	5.690	5.606	7.872	5.970	5.958
4228	7.374	6.578	9.297	6.863	6.897
4872	8.417	7.617	10.569	7.759	7.747
5612	9.626	8.594	11.806	9.066	9.099
6463	11.901	9.441	17.105	10.496	10.434
7442	12.784	10.963	14.087	12.862	12.005
8568	16.604	12.747	14.427	16.255	13.852
9863	17.813	14.305	16.399	16.843	15.946
11352	19.680	16.795	20.644	18.619	18.717
13064	22.716	19.811	21.849	21.389	21.161
15033	25.173	23.611	25.320	24.728	24.398
17297	26.558	28.001	29.555	28.979	28.119
19901	30.185	32.011	32.990	33.819	32.406
SA_rate_70
1	0.002	0.002	0.001	0.002	0.002
11	0.019	0.020	0.019	0.024	0.022
22	0.039	0.038	0.038	0.046	0.047
35	0.059	0.059	0.060	0.068	0.073
50	0.082	0.073	0.086	0.095	0.104
67	0.106	0.097	0.119	0.130	0.141
87	0.147	0.129	0.165	0.168	0.206
110	0.178	0.167	0.208	0.219	0.264
136	0.215	0.195	0.246	0.269	0.315
166	0.256	0.240	0.298	0.329	0.331
200	0.320	0.283	0.418	0.348	0.460
239	0.403	0.344	0.442	0.842	0.512
284	0.462	0.406	0.495	1.090	0.576
336	0.547	0.472	0.577	1.239	0.662
396	0.638	0.618	0.686	0.737	0.802
465	0.752	1.006	0.789	0.851	0.941
544	0.903	0.927	0.931	0.985	1.101
635	1.033	1.040	1.140	1.177	1.318
740	1.215	1.471	1.292	1.347	1.823
860	1.490	2.399	1.487	1.699	1.816
998	1.846	2.237	1.712	1.857	1.972
1157	1.924	2.371	2.087	2.112	2.078
1340	2.235	2.388	2.410	2.432	2.457
1550	2.584	2.721	2.662	2.832	2.816
